IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,ME62271,ME62152,ME62215,ME62143,ME62230,ME62095,ME62076,ME62030,ME62171,ME62301,ME62194,ME62344,ME62320,ME62296,ME62271_S,ME62152_S,ME62215_S,ME62143_S,ME62230_S,ME62095_S,ME62076_S,ME62030_S,ME62171_S,ME62301_S,ME62194_S,ME62344_S,ME62320_S,ME62296_S,BSBG01,BSBGHER,BSBGSSB,BSBGSB,BSBGSLM,BSBGICM,BSBGDML,BSBGSCM,BSBGSVM,BSBGSEC,BSBG01_Z,BSBGHER_Z,BSBGSSB_Z,BSBGSB_Z,BSBGSLM_Z,BSBGICM_Z,BSBGDML_Z,BSBGSCM_Z,BSBGSVM_Z,BSBGSEC_Z
158,11,5059,505904,50590424,1,1,1,1,0,0,1,1,1,1,1,1,1,0,17.056,40.984,129.903,48.496,17.714,32.882,37.046,100.992,19.044,96.398,31.721,28.005,60.311,73.062,2,13.51543,13.27199,9.28593,8.37412,7.73983,10.67499,7.34181,8.12441,8.09086,1,1.957320822,2.347196992,-0.938721121,-0.462746103,-1.03154449,0.060255651,-0.783550518,-0.055138395,-0.207712738
158,10,5059,505904,50590425,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19.461,55.916,94.082,30.88,70.305,23.283,18.524,37.785,71.007,100.967,79.088,44.835,95.534,79.458,2,10.84499,10.70956,12.93734,10.67004,11.65115,10.31153,10.59469,8.12441,5.41269,1,0.29614548,0.855017095,1.062742058,0.796661067,0.945122022,-0.115992741,0.62211325,-0.055138395,-1.548610482
158,11,5060,506003,50600316,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34.007,55.999,220.186,41.328,28.175,45.682,20.901,55.44,8.56,50.875,36.426,41.909,104.531,99.042,1,11.48712,10.00496,9.92809,6.198,9.15605,8.44435,6.49606,6.90631,9.52551,0,0.695589213,0.444707367,-0.586731179,-1.656438012,-0.315828402,-1.021422425,-1.149023616,-0.712210896,0.510583319
158,10,5060,506003,50600331,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.368,16.232,56.896,116.105,5.096,6.6,14.64,27.104,12.777,4.984,123.651,23.493,29.696,39.535,2,7.34568,9.40801,12.93734,13.84849,13.01885,6.82234,14.06165,8.82228,12.56518,1,-1.88063718,0.097085465,1.062742058,2.540172477,1.636317524,-1.807964697,2.120287194,0.321309504,2.032475748
158,11,5060,506003,50600332,1,1,1,1,1,1,1,1,0,1,1,1,1,1,49.349,54.88,119.983,43.568,33.856,28.455,18.786,50.849,30.183,94.264,47.394,38.67,90.35,86.693,1,10.26525,9.40801,12.93734,9.13133,13.01885,9.71101,8.76168,12.04145,10.1686,0,-0.064487896,0.097085465,1.062742058,-0.04738507,1.636317524,-0.407195857,-0.16998352,2.057807396,0.8325636
158,11,5061,506107,50610715,1,1,0,0,1,1,1,1,1,0,1,1,1,1,11.425,45.297,120.696,137.943,25.378,34.126,40.635,163.959,11.959,72.944,67.744,48.28,72.953,65.719,2,8.3581,10.70956,12.93734,8.57095,7.27558,13.1082,7.97991,6.48714,7.28369,1,-1.25085065,0.855017095,1.062742058,-0.354776699,-1.266162836,1.240163619,-0.507809006,-0.938321298,-0.611844078
158,10,5062,506202,50620215,1,1,0,1,0,1,1,1,1,1,1,1,1,1,53.099,40.606,180.802,285.439,27.656,84.076,27.155,137.976,11.048,66.012,57.171,95.471,112.073,74.273,1,10.23835,9.40801,10.41803,9.68014,9.15605,12.25252,9.89515,8.82228,6.44721,0,-0.081221325,0.097085465,-0.318178245,0.253659936,-0.315828402,0.825228759,0.319821733,0.321309504,-1.030650258
158,10,5064,506408,50640804,1,1,0,1,1,1,1,0,1,0,1,1,1,1,20.81,48.03,96.671,51.27,15.397,38.491,14.673,25.984,37.019,43.219,36.339,35.338,106.812,33.061,2,12.1587,7.73555,12.93734,8.76139,8.82274,8.15891,11.75008,7.91135,7.68313,1,1.113352629,-0.87683819,1.062742058,-0.250312475,-0.484273509,-1.159837494,1.121390771,-0.170068095,-0.411853714
158,10,5064,506408,50640820,1,1,0,0,0,1,1,1,0,0,1,0,0,0,25.76,50.495,159.434,42.712,11.911,14.832,38.097,292.189,33.814,57.766,66.233,41.602,37.901,28.534,1,9.64761,7.73555,9.05015,7.95043,7.98224,8.15891,8.76168,6.90631,5.9732,0,-0.448697366,-0.87683819,-1.067960234,-0.695157608,-0.909037579,-1.159837494,-0.16998352,-0.712210896,-1.267976096
158,10,5065,506509,50650904,1,1,1,1,1,0,1,1,0,1,1,1,1,1,42.575,51.175,96.241,41.225,14.878,3.521,9.048,29.784,17.744,36.432,51.136,83.492,9.872,45.233,1,13.51543,7.73555,10.41803,8.94763,7.98224,9.45061,8.76168,9.08085,9.52551,0,1.957320822,-0.87683819,-0.318178245,-0.148152125,-0.909037579,-0.533468573,-0.16998352,0.460788394,0.510583319
